zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
81131004,,695,0,0,0,0,0,0,0,0,nan,0,0
81131006,,131,0,0,0,0,0,0,0,0,nan,0,0
81131007,,3761,0,0,0,0,0,0,0,0,nan,0,0
81131008,,26649,0,0,0,0,0,0,0,0,nan,0,0
81131010,,1356,0,0,0,0,0,0,0,0,nan,0,0
81131011,,1111,0,0,0,0,0,0,0,0,nan,0,0
81151006,,13163,0,0,0,0,0,0,0,0,nan,0,0
81151008,,895,0,0,0,0,0,0,0,0,nan,0,0
81171001,,9,0,0,0,0,0,0,0,0,nan,0,0
81171004,,14724,0,0,0,0,0,0,0,0,nan,0,0
81171006,,3617,0,0,0,0,0,0,0,0,nan,0,0
81171010,,32,0,0,0,0,0,0,0,0,nan,0,0
81171011,,317,0,0,0,0,0,0,0,0,nan,0,0
81191001,,2750,0,0,0,0,0,0,0,0,nan,0,0
81191004,,285,0,0,0,0,0,0,0,0,nan,0,0
81191006,,65,0,0,0,0,0,0,0,0,nan,0,0
81191007,,279,0,0,0,0,0,0,0,0,nan,0,0
81191008,,994,0,0,0,0,0,0,0,0,nan,0,0
81191010,,63933,0,0,0,0,0,0,0,0,nan,0,0
81191011,,108,0,0,0,0,0,0,0,0,nan,0,0
81211006,,1545,0,0,0,0,0,0,0,0,nan,0,0
81211007,,7075,0,0,0,0,0,0,0,0,nan,0,0
81211008,,8091,0,0,0,0,0,0,0,0,nan,0,0
81231001,,436863,0,0,0,0,0,0,0,0,nan,0,0
81231004,,42209,0,0,0,0,0,0,0,0,nan,0,0
81231006,,33124,0,0,0,0,0,0,0,0,nan,0,0
81231007,,60683,0,0,0,0,0,0,0,0,nan,0,0
81231008,,15000,0,0,0,0,0,0,0,0,nan,0,0
81231010,,3901,0,0,0,0,0,0,0,0,nan,0,0
81231012,,3,0,0,0,0,0,0,0,0,nan,0,0
81251006,,287,0,0,0,0,0,0,0,0,nan,0,0
81251007,,12,0,0,0,0,0,0,0,0,nan,0,0
81251008,,4299,0,0,0,0,0,0,0,0,nan,0,0
81251012,,55,0,0,0,0,0,0,0,0,nan,0,0
350011001,,7150,0,0,0,0,0,0,0,0,nan,0,0
350011002,,49605,0,0,0,0,0,0,0,0,nan,0,0
350011004,,106,0,0,0,0,0,0,0,0,nan,0,0
350011005,,43936,0,0,0,0,0,0,0,0,nan,0,0
350011006,,1619,0,0,0,0,0,0,0,0,nan,0,0
350011007,,461,0,0,0,0,0,0,0,0,nan,0,0
350011008,,1062,0,0,0,0,0,0,0,0,nan,0,0
350011009,,18265,0,0,0,0,0,0,0,0,nan,0,0
350011010,,19,0,0,0,0,0,0,0,0,nan,0,0
350011011,,33112,0,0,0,0,0,0,0,0,nan,0,0
350031001,,36404,0,0,0,0,0,0,0,0,nan,0,0
350031005,,2,0,0,0,0,0,0,0,0,nan,0,0
350031006,,365,0,0,0,0,0,0,0,0,nan,0,0
350031007,,274,0,0,0,0,0,0,0,0,nan,0,0
350031008,,173,0,0,0,0,0,0,0,0,nan,0,0
350031009,,99,0,0,0,0,0,0,0,0,nan,0,0
350031010,,5062,0,0,0,0,0,0,0,0,nan,0,0
350031011,,352,0,0,0,0,0,0,0,0,nan,0,0
350051001,,832,0,0,0,0,0,0,0,0,nan,0,0
350051002,,3,0,0,0,0,0,0,0,0,nan,0,0
350051003,,996,0,0,0,0,0,0,0,0,nan,0,0
350051006,,2,0,0,0,0,0,0,0,0,nan,0,0
