zone,label,non_null,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
800504008,,139260,0,39.3628006,106.2012787,66.8384781,49.21278625,49.21278625,4.084874961,16.68620344,0.083004342,6853372.613,6853372.613
800504012,,7088,0,0,173.2076263,173.2076263,71.96766112,71.96766112,12.02897195,144.6961661,0.167144128,510106.782,510106.782
800505002,,2770,0,0,75.96218872,75.96218872,49.64155243,49.64155243,4.628420365,21.42227507,0.093236818,137507.1002,137507.1002
800505004,,2279,0,0,138.2602692,138.2602692,54.08398635,54.08398635,14.15015915,200.227004,0.261633066,123257.4049,123257.4049
800505006,,40225,0,0,123.1740112,123.1740112,49.28894714,49.28894714,5.079708848,25.80344198,0.103059796,1982647.899,1982647.899
800505008,,3535,0,42.43021393,91.19889832,48.76868439,49.81459307,49.81459307,3.259477325,10.62419243,0.065432178,176094.5865,176094.5865
800505012,,1980,0,0,274.3103638,274.3103638,76.43416011,76.43416011,30.92514127,956.3643626,0.404598431,151339.637,151339.637
800507006,,472,0,39.25102997,81.75294495,42.50191498,51.94670049,51.94670049,8.206253798,67.34260141,0.157974495,24518.84263,24518.84263
800508102,,107,0,45.51652908,97.23834229,51.72181321,65.17795524,65.17795524,10.51767296,110.6214445,0.161368563,6974.04121,6974.04121
800508104,,147,0,0,97.58598328,97.58598328,72.17104277,72.17104277,11.68057364,136.4358005,0.16184571,10609.14329,10609.14329
800508106,,2872,0,0,127.8282852,127.8282852,64.35044403,64.35044403,14.24957713,203.0504485,0.221437122,184814.4753,184814.4753
800508108,,91,0,46.806633,83.46851349,36.66188049,60.153172,60.153172,7.390210387,54.61520956,0.122856537,5473.938652,5473.938652
800508112,,15,0,56.06807709,127.5340347,71.46595761,78.98363495,78.98363495,15.38359777,236.6550802,0.194769433,1184.754524,1184.754524
800508202,,68,0,48.13392258,92.3864975,44.25257492,60.85131275,60.85131275,10.25468953,105.1586574,0.168520432,4137.889267,4137.889267
800508204,,327,0,0,129.3580627,129.3580627,82.66706273,82.66706273,20.14602776,405.8624345,0.243700781,27032.12951,27032.12951
800508206,,807,0,0,136.4933777,136.4933777,70.69502438,70.69502438,17.89605414,320.2687539,0.253144465,57050.88467,57050.88467
800508208,,2,0,47.5295372,55.5904007,8.0608635,51.55996895,51.55996895,4.030431747,16.24438007,0.078169786,103.1199379,103.1199379
800508212,,575,0,0,129.410553,129.410553,82.53253016,82.53253016,14.31378466,204.8844314,0.173432035,47456.20484,47456.20484
800509002,,31,0,0,52.96895218,52.96895218,43.46263627,43.46263627,16.81352857,282.6947429,0.386850178,1347.341724,1347.341724
800509004,,4970,0,0,130.9668884,130.9668884,10.28347962,10.28347962,28.33256653,802.734326,2.755153661,51108.89371,51108.89371
800509006,,3325,0,0,146.2678833,146.2678833,34.02469829,34.02469829,37.19600839,1383.54304,1.09320612,113132.1218,113132.1218
800509008,,96,0,0,78.89376068,78.89376068,47.25631686,47.25631686,16.8619457,284.3252129,0.356818873,4536.606419,4536.606419
800509012,,3901,0,0,241.283493,241.283493,2.215207101,2.215207101,17.11794989,293.0242083,7.727471567,8641.5229,8641.5229
800509102,,1262,0,0,105.6016846,105.6016846,41.17582638,41.17582638,20.74641085,469.5267048,0.732529571,75914.70595,75914.70595
800509104,,9034,0,0,152.8743591,152.8743591,51.2820783,51.2820783,30.60123866,1012.991459,0.771217745,636811.4271,636811.4271
800509106,,86564,0,0,153.6948853,153.6948853,55.76349534,55.76349534,15.2358641,236.9363362,0.272712317,4757957.847,4757957.847
800509108,,8890,0,38.87955093,109.2937622,70.41421127,60.91621204,60.91621204,8.641059076,78.41779549,0.144857809,502959.8285,502959.8285
800509112,,4072,0,0,149.1963348,149.1963348,85.51359761,85.51359761,18.78155907,487.7868044,0.202801104,405203.2245,405203.2245
800509202,,377,0,0,97.23834229,97.23834229,62.02043065,62.02043065,15.50888848,240.5256218,0.250060961,23381.70235,23381.70235
800509204,,1950,0,0,152.8743591,152.8743591,78.55120854,78.55120854,26.52825719,703.7484294,0.337719275,153174.8567,153174.8567
800509206,,9213,0,0,146.2678833,146.2678833,62.90092746,62.90092746,13.32003994,177.423464,0.211762218,579506.2447,579506.2447
800509208,,3298,0,0,109.2937622,109.2937622,61.11715502,61.11715502,10.57977284,111.9315933,0.173106435,201564.3773,201564.3773
800509212,,2833,0,0,131.3543396,131.3543396,87.48692822,87.48692822,12.76590691,162.9683792,0.145917878,247850.4676,247850.4676
800509802,,7058,0,0,85.24524689,85.24524689,42.87112498,42.87112498,19.04481406,362.7049427,0.444234064,302584.4001,302584.4001
800509804,,18780,0,0,152.8743591,152.8743591,72.92794652,72.92794652,18.48271795,341.6108628,0.253438069,1369586.836,1369586.836
800509806,,431749,0,0,152.8743591,152.8743591,60.17851887,60.17851887,20.64331179,426.1463218,0.343034561,25982015.34,25982015.34
800509807,,1,0,87.04142761,87.04142761,0,87.04142761,87.04142761,0,0,0,87.04142761,87.04142761
800509808,,2190,0,40.1971817,73.06061554,32.86343384,48.09450198,48.09450198,3.210509464,10.30737102,0.066754189,105326.9593,105326.9593
800509812,,3421,0,0,274.3103638,274.3103638,67.26948106,67.26948106,31.51228627,993.0241857,0.468448482,230128.8947,230128.8947
800509902,,2278,0,0,87.07752991,87.07752991,50.4325512,50.4325512,5.648959128,31.91073923,0.11201018,114885.3516,114885.3516
800509904,,6710,0,0,138.2602692,138.2602692,55.78727101,55.78727101,11.17364999,124.850454,0.200290313,374332.5885,374332.5885
800509906,,802855,0,0,127.4448013,127.4448013,46.84593236,46.84593236,3.933840133,15.47509819,0.083973996,37610491.03,37610491.03
800509908,,17695,0,36.56996918,83.93497467,47.36500549,46.53739429,46.53739429,3.615504919,13.07187582,0.077690317,823479.192,823479.192
