zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
807301008,,32758,0,0,0,0,0,0,0,0,nan,0,0
807501001,,400,0,0,0,0,0,0,0,0,nan,0,0
807501004,,2138,0,0,0,0,0,0,0,0,nan,0,0
807501006,,276,0,0,0,0,0,0,0,0,nan,0,0
807501007,,22655,0,0,0,0,0,0,0,0,nan,0,0
807501008,,1843,0,0,0,0,0,0,0,0,nan,0,0
807701001,,684676,0,0,0,0,0,0,0,0,nan,0,0
807701004,,20541,0,0,0,0,0,0,0,0,nan,0,0
807701005,,42583,0,0,0,0,0,0,0,0,nan,0,0
807701006,,9602,0,0,0,0,0,0,0,0,nan,0,0
807701007,,279,0,0,0,0,0,0,0,0,nan,0,0
807701008,,143,0,0,0,0,0,0,0,0,nan,0,0
807701010,,21976,0,0,0,0,0,0,0,0,nan,0,0
807701011,,2,0,0,0,0,0,0,0,0,nan,0,0
807701012,,174926,0,0,0,0,0,0,0,0,nan,0,0
807901006,,6,0,0,0,0,0,0,0,0,nan,0,0
807901010,,21189,0,0,0,0,0,0,0,0,nan,0,0
807901011,,61,0,0,0,0,0,0,0,0,nan,0,0
808101001,,1536,0,0,0,0,0,0,0,0,nan,0,0
808101003,,995,0,0,0,0,0,0,0,0,nan,0,0
808101004,,254,0,0,0,0,0,0,0,0,nan,0,0
808101005,,6,0,0,0,0,0,0,0,0,nan,0,0
808101006,,19,0,0,0,0,0,0,0,0,nan,0,0
808101007,,486,0,0,0,0,0,0,0,0,nan,0,0
808101008,,209046,0,0,0,0,0,0,0,0,nan,0,0
808101010,,493,0,0,0,0,0,0,0,0,nan,0,0
808101011,,31167,0,0,0,0,0,0,0,0,nan,0,0
808301001,,4201,0,0,0,0,0,0,0,0,nan,0,0
808301004,,1,0,0,0,0,0,0,0,0,nan,0,0
808301005,,195538,0,0,0,0,0,0,0,0,nan,0,0
808301006,,2070,0,0,0,0,0,0,0,0,nan,0,0
808301007,,1169,0,0,0,0,0,0,0,0,nan,0,0
808301008,,33,0,0,0,0,0,0,0,0,nan,0,0
808301009,,507,0,0,0,0,0,0,0,0,nan,0,0
808301010,,120273,0,0,0,0,0,0,0,0,nan,0,0
808301011,,33,0,0,0,0,0,0,0,0,nan,0,0
808501001,,3673,0,0,0,0,0,0,0,0,nan,0,0
808501004,,438540,0,0,0,0,0,0,0,0,nan,0,0
808501005,,8712,0,0,0,0,0,0,0,0,nan,0,0
808501006,,41754,0,0,0,0,0,0,0,0,nan,0,0
808501007,,1460,0,0,0,0,0,0,0,0,nan,0,0
808501010,,3812,0,0,0,0,0,0,0,0,nan,0,0
808501011,,3715156,0,0,0,0,0,0,0,0,nan,0,0
808701006,,385795,0,0,0,0,0,0,0,0,nan,0,0
808701007,,233,0,0,0,0,0,0,0,0,nan,0,0
808701008,,13170,0,0,0,0,0,0,0,0,nan,0,0
808901001,,20588,0,0,0,0,0,0,0,0,nan,0,0
808901005,,8606,0,0,0,0,0,0,0,0,nan,0,0
808901006,,7419,0,0,0,0,0,0,0,0,nan,0,0
808901007,,2867,0,0,0,0,0,0,0,0,nan,0,0
808901008,,127055,0,0,0,0,0,0,0,0,nan,0,0
808901010,,416,0,0,0,0,0,0,0,0,nan,0,0
809101001,,16574,0,0,0,0,0,0,0,0,nan,0,0
809101004,,73,0,0,0,0,0,0,0,0,nan,0,0
809101006,,9911,0,0,0,0,0,0,0,0,nan,0,0
809101007,,53524,0,0,0,0,0,0,0,0,nan,0,0
809101008,,157627,0,0,0,0,0,0,0,0,nan,0,0
809101010,,200,0,0,0,0,0,0,0,0,nan,0,0
809101011,,159,0,0,0,0,0,0,0,0,nan,0,0
809101012,,58623,0,0,0,0,0,0,0,0,nan,0,0
809301001,,747,0,0,0,0,0,0,0,0,nan,0,0
809301004,,10,0,0,0,0,0,0,0,0,nan,0,0
809301006,,8,0,0,0,0,0,0,0,0,nan,0,0
809301007,,1,0,0,0,0,0,0,0,0,nan,0,0
809301008,,466,0,0,0,0,0,0,0,0,nan,0,0
809301010,,1,0,0,0,0,0,0,0,0,nan,0,0
809301011,,8,0,0,0,0,0,0,0,0,nan,0,0
809501006,,17,0,0,0,0,0,0,0,0,nan,0,0
809701001,,13,0,0,0,0,0,0,0,0,nan,0,0
809701004,,1,0,0,0,0,0,0,0,0,nan,0,0
809701006,,1752,0,0,0,0,0,0,0,0,nan,0,0
809701008,,42,0,0,0,0,0,0,0,0,nan,0,0
809701010,,122484,0,0,0,0,0,0,0,0,nan,0,0
809701011,,3645,0,0,0,0,0,0,0,0,nan,0,0
809901001,,71993,0,0,0,0,0,0,0,0,nan,0,0
809901006,,1,0,0,0,0,0,0,0,0,nan,0,0
809901007,,170265,0,0,0,0,0,0,0,0,nan,0,0
809901008,,7817,0,0,0,0,0,0,0,0,nan,0,0
810101001,,1918,0,0,0,0,0,0,0,0,nan,0,0
810101002,,400,0,0,0,0,0,0,0,0,nan,0,0
810101004,,215,0,0,0,0,0,0,0,0,nan,0,0
810101006,,2,0,0,0,0,0,0,0,0,nan,0,0
810101007,,57597,0,0,0,0,0,0,0,0,nan,0,0
810101008,,837,0,0,0,0,0,0,0,0,nan,0,0
