Landcat,A2_y2015,A2_y2016,A2_y2017,A2_y2018,A2_y2019,A2_y2020,A2_y2021,A2_y2022,A2_y2023,A2_y2024,A2_y2025,A2_y2026,A2_y2027,A2_y2028,A2_y2029,A2_y2030,A2_y2031,A2_y2032,A2_y2033,A2_y2034,A2_y2035,A2_y2036,A2_y2037,A2_y2038,A2_y2039,A2_y2040,A2_y2041,A2_y2042,A2_y2043,A2_y2044,A2_y2045,A2_y2046,A2_y2047,A2_y2048,A2_y2049,A2_y2050
80039907,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584,584
80039908,3826,3826,3848,3848,3848,3881,3881,3945,3945,4015,4015,4015,4015,4015,4015,4015,4015,4047,4047,4032,4020,4020,4020,4020,4020,3903,3903,3893,3893,3893,3893,3893,3893,3893,3974,3974
80039911,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
80039901,116,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,269,269,269,269,269,269,269,341,413,413
80039903,905,1105,1105,1105,1105,1105,1105,1105,1105,1105,1177,1177,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1249,1402,1402,1402,1402
80039905,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972,972
80039906,221069,220788,220324,220190,219797,219405,219116,219205,219002,218669,218075,218284,218467,218314,218515,218723,218859,218868,219132,219245,219578,220700,221941,222495,222977,224052,224171,223786,223408,223031,222639,222057,221985,221873,221882,221040
80039907,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485
80039908,830,830,830,948,948,1010,1010,1010,1014,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1017,1029,1029,1029,1029,1029,1029,1029,1045,1045,1045,1045,1045,1045,1045,1126,1190
80039101,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375
80039103,11269,11269,11269,11262,11262,11262,11262,11262,11262,11262,11215,11215,11215,11215,11215,11215,11215,11215,11215,11215,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178,11178
80039105,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
80039106,47334,47189,46931,46658,46386,46291,46155,45955,45883,45819,45666,45602,45466,45466,45402,45402,45266,45266,45130,45058,44951,44735,44607,44607,44607,44607,44543,44407,44199,44127,44055,43919,43783,43719,43655,43591
80039107,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716,716
80039108,2676,2676,2654,2654,2654,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621,2621
80039203,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
80039206,2906,2778,2714,2633,2425,2425,2425,2425,2353,2217,2153,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2072,2000,2000,2000,2000,2000,2000,1936,1936,1855,1855,1791,1727,1727,1727
80039207,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252
80033110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80059002,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
80059004,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053,6053
80059006,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209,9209
80059008,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529,529
80059012,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055,4055
80059802,1977,1991,2022,2022,2022,2022,2030,2030,2036,2036,2036,2036,2036,2036,2036,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044,2044
80059804,19939,19941,20010,20079,20150,20159,20166,20267,20288,20288,20300,20309,20317,20319,20332,20373,20461,20479,20491,20523,20523,20523,20584,20594,20594,20602,20605,20605,20694,20694,20709,20709,20739,20739,20806,20806
80059806,301702,303013,304359,305332,306875,308332,309752,310523,311777,312780,313790,314344,315085,316324,317270,318188,318967,320279,321023,321711,322264,323149,323977,324946,326308,326964,327514,328365,329143,330377,331252,333155,333920,334970,336299,337044
80059807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80059808,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
80059812,14655,14737,14983,15047,15086,15150,15214,15278,15630,15630,15771,15835,15988,16188,16541,16543,16543,16722,16914,17114,17178,17322,17322,17456,17537,17745,17745,17745,17745,17817,17817,17817,17889,17961,17961,17961
80059806,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,136,136,136,136,136,64,64,64,136,72,72,72,72,136,136,136,136,136,136
